,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_random_state,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
146,6.6269965171813965,0.0,0.00400233268737793,0.0,0.1,"(128,)",2,"{'alpha': 0.1, 'hidden_layer_sizes': (128,), 'random_state': 2}",0.7816666666666667,0.7816666666666667,0.0,1,1.0,1.0,0.0
286,17.65100646018982,0.0,0.013990163803100586,0.0,1000.0,"(1024,)",2,"{'alpha': 1000.0, 'hidden_layer_sizes': (1024,), 'random_state': 2}",0.7400000000000001,0.7400000000000001,0.0,2,0.8070833333333334,0.8070833333333334,0.0
154,4.537008047103882,0.0,0.008994817733764648,0.0,0.1,"(512,)",2,"{'alpha': 0.1, 'hidden_layer_sizes': (512,), 'random_state': 2}",0.715,0.715,0.0,3,1.0,1.0,0.0
58,4.507096529006958,0.0,0.006999969482421875,0.0,0.0001,"(512,)",2,"{'alpha': 0.0001, 'hidden_layer_sizes': (512,), 'random_state': 2}",0.7133333333333334,0.7133333333333334,0.0,4,1.0,1.0,0.0
122,4.6000001430511475,0.0,0.009999275207519531,0.0,0.01,"(512,)",2,"{'alpha': 0.01, 'hidden_layer_sizes': (512,), 'random_state': 2}",0.7133333333333334,0.7133333333333334,0.0,4,1.0,1.0,0.0
90,4.52700138092041,0.0,0.008002996444702148,0.0,0.001,"(512,)",2,"{'alpha': 0.001, 'hidden_layer_sizes': (512,), 'random_state': 2}",0.7133333333333334,0.7133333333333334,0.0,4,1.0,1.0,0.0
26,4.532998085021973,0.0,0.00800323486328125,0.0,1e-05,"(512,)",2,"{'alpha': 1e-05, 'hidden_layer_sizes': (512,), 'random_state': 2}",0.7133333333333334,0.7133333333333334,0.0,4,1.0,1.0,0.0
159,8.924000263214111,0.0,0.014003276824951172,0.0,0.1,"(1024,)",3,"{'alpha': 0.1, 'hidden_layer_sizes': (1024,), 'random_state': 3}",0.7066666666666667,0.7066666666666667,0.0,8,1.0,1.0,0.0
30,9.158318996429443,0.0,0.015002012252807617,0.0,1e-05,"(1024,)",2,"{'alpha': 1e-05, 'hidden_layer_sizes': (1024,), 'random_state': 2}",0.7000000000000001,0.7000000000000001,0.0,9,1.0,1.0,0.0
94,9.029996633529663,0.0,0.016002416610717773,0.0,0.001,"(1024,)",2,"{'alpha': 0.001, 'hidden_layer_sizes': (1024,), 'random_state': 2}",0.7000000000000001,0.7000000000000001,0.0,9,1.0,1.0,0.0
62,9.036991357803345,0.0,0.01600503921508789,0.0,0.0001,"(1024,)",2,"{'alpha': 0.0001, 'hidden_layer_sizes': (1024,), 'random_state': 2}",0.6983333333333333,0.6983333333333333,0.0,11,1.0,1.0,0.0
42,1.0260000228881836,0.0,0.0029985904693603516,0.0,0.0001,"(32,)",2,"{'alpha': 0.0001, 'hidden_layer_sizes': (32,), 'random_state': 2}",0.6983333333333333,0.6983333333333333,0.0,11,1.0,1.0,0.0
126,9.179998874664307,0.0,0.016000032424926758,0.0,0.01,"(1024,)",2,"{'alpha': 0.01, 'hidden_layer_sizes': (1024,), 'random_state': 2}",0.69,0.69,0.0,13,1.0,1.0,0.0
158,9.063625812530518,0.0,0.014002561569213867,0.0,0.1,"(1024,)",2,"{'alpha': 0.1, 'hidden_layer_sizes': (1024,), 'random_state': 2}",0.69,0.69,0.0,13,1.0,1.0,0.0
186,126.11825060844421,0.0,0.008012056350708008,0.0,1.0,"(512,)",2,"{'alpha': 1.0, 'hidden_layer_sizes': (512,), 'random_state': 2}",0.685,0.685,0.0,15,1.0,1.0,0.0
28,19.33937644958496,0.0,0.014012813568115234,0.0,1e-05,"(1024,)",0,"{'alpha': 1e-05, 'hidden_layer_sizes': (1024,), 'random_state': 0}",0.6849999999999999,0.6849999999999999,0.0,16,1.0,1.0,0.0
105,0.985999584197998,0.0,0.003000020980834961,0.0,0.01,"(32,)",1,"{'alpha': 0.01, 'hidden_layer_sizes': (32,), 'random_state': 1}",0.6833333333333332,0.6833333333333332,0.0,17,1.0,1.0,0.0
176,10.31899881362915,0.0,0.003001689910888672,0.0,1.0,"(128,)",0,"{'alpha': 1.0, 'hidden_layer_sizes': (128,), 'random_state': 0}",0.6833333333333332,0.6833333333333332,0.0,17,1.0,1.0,0.0
60,19.563999891281128,0.0,0.011998414993286133,0.0,0.0001,"(1024,)",0,"{'alpha': 0.0001, 'hidden_layer_sizes': (1024,), 'random_state': 0}",0.6833333333333332,0.6833333333333332,0.0,17,1.0,1.0,0.0
191,162.09690713882446,0.0,0.01600170135498047,0.0,1.0,"(1024,)",3,"{'alpha': 1.0, 'hidden_layer_sizes': (1024,), 'random_state': 3}",0.6783333333333333,0.6783333333333333,0.0,20,1.0,1.0,0.0
