,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,param_random_state,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
724,4.841586112976074,0.0,0.005433797836303711,0.0,1000.0,"(64,)",100,0,"{'alpha': 1000.0, 'hidden_layer_sizes': (64,), 'max_iter': 100, 'random_state': 0}",0.8249999999999998,0.8249999999999998,0.0,1,0.9777083333333332,0.9777083333333332,0.0
549,12.407303810119629,0.0,0.012432336807250977,0.0,10.0,"(128,)",100,1,"{'alpha': 10.0, 'hidden_layer_sizes': (128,), 'max_iter': 100, 'random_state': 1}",0.7916666666666666,0.7916666666666666,0.0,2,0.9983333333333334,0.9983333333333334,0.0
678,1.837472915649414,0.0,0.004055976867675781,0.0,1000.0,"(8,)",100,2,"{'alpha': 1000.0, 'hidden_layer_sizes': (8,), 'max_iter': 100, 'random_state': 2}",0.775,0.775,0.0,3,0.9191666666666668,0.9191666666666668,0.0
628,4.317728042602539,0.0,0.004857063293457031,0.0,100.0,"(64,)",100,0,"{'alpha': 100.0, 'hidden_layer_sizes': (64,), 'max_iter': 100, 'random_state': 0}",0.7633333333333333,0.7633333333333333,0.0,4,0.9902083333333334,0.9902083333333334,0.0
551,8.33544111251831,0.0,0.0110321044921875,0.0,10.0,"(128,)",100,3,"{'alpha': 10.0, 'hidden_layer_sizes': (128,), 'max_iter': 100, 'random_state': 3}",0.7633333333333333,0.7633333333333333,0.0,4,1.0,1.0,0.0
860,255.3902177810669,0.0,0.010264158248901367,0.0,10000.0,"(256,)",10000,0,"{'alpha': 10000.0, 'hidden_layer_sizes': (256,), 'max_iter': 10000, 'random_state': 0}",0.7616666666666667,0.7616666666666667,0.0,6,0.9889583333333333,0.9889583333333333,0.0
808,24.116708993911743,0.0,0.004370927810668945,0.0,10000.0,"(32,)",1000,0,"{'alpha': 10000.0, 'hidden_layer_sizes': (32,), 'max_iter': 1000, 'random_state': 0}",0.7616666666666667,0.7616666666666667,0.0,6,0.989375,0.989375,0.0
828,77.4432020187378,0.0,0.0055389404296875,0.0,10000.0,"(64,)",10000,0,"{'alpha': 10000.0, 'hidden_layer_sizes': (64,), 'max_iter': 10000, 'random_state': 0}",0.7616666666666667,0.7616666666666667,0.0,6,0.98875,0.98875,0.0
830,80.8811182975769,0.0,0.003744840621948242,0.0,10000.0,"(64,)",10000,2,"{'alpha': 10000.0, 'hidden_layer_sizes': (64,), 'max_iter': 10000, 'random_state': 2}",0.7616666666666667,0.7616666666666667,0.0,6,0.9889583333333333,0.9889583333333333,0.0
846,139.03427934646606,0.0,0.017802953720092773,0.0,10000.0,"(128,)",10000,2,"{'alpha': 10000.0, 'hidden_layer_sizes': (128,), 'max_iter': 10000, 'random_state': 2}",0.7616666666666667,0.7616666666666667,0.0,6,0.9889583333333333,0.9889583333333333,0.0
831,78.08897423744202,0.0,0.020060062408447266,0.0,10000.0,"(64,)",10000,3,"{'alpha': 10000.0, 'hidden_layer_sizes': (64,), 'max_iter': 10000, 'random_state': 3}",0.7616666666666667,0.7616666666666667,0.0,6,0.98875,0.98875,0.0
845,175.5662877559662,0.0,0.013756275177001953,0.0,10000.0,"(128,)",10000,1,"{'alpha': 10000.0, 'hidden_layer_sizes': (128,), 'max_iter': 10000, 'random_state': 1}",0.7600000000000001,0.7600000000000001,0.0,12,0.98875,0.98875,0.0
844,101.1814353466034,0.0,0.008228778839111328,0.0,10000.0,"(128,)",10000,0,"{'alpha': 10000.0, 'hidden_layer_sizes': (128,), 'max_iter': 10000, 'random_state': 0}",0.7600000000000001,0.7600000000000001,0.0,12,0.98875,0.98875,0.0
740,8.691241979598999,0.0,0.0033960342407226562,0.0,1000.0,"(128,)",100,0,"{'alpha': 1000.0, 'hidden_layer_sizes': (128,), 'max_iter': 100, 'random_state': 0}",0.7599999999999999,0.7599999999999999,0.0,14,0.9716666666666667,0.9716666666666667,0.0
862,282.3288850784302,0.0,0.005982875823974609,0.0,10000.0,"(256,)",10000,2,"{'alpha': 10000.0, 'hidden_layer_sizes': (256,), 'max_iter': 10000, 'random_state': 2}",0.7599999999999999,0.7599999999999999,0.0,14,0.9887499999999999,0.9887499999999999,0.0
858,129.6597580909729,0.0,0.03369593620300293,0.0,10000.0,"(256,)",1000,2,"{'alpha': 10000.0, 'hidden_layer_sizes': (256,), 'max_iter': 1000, 'random_state': 2}",0.7599999999999999,0.7599999999999999,0.0,14,0.9904166666666666,0.9904166666666666,0.0
812,38.20166301727295,0.0,0.003926753997802734,0.0,10000.0,"(32,)",10000,0,"{'alpha': 10000.0, 'hidden_layer_sizes': (32,), 'max_iter': 10000, 'random_state': 0}",0.7583333333333333,0.7583333333333333,0.0,17,0.9891666666666667,0.9891666666666667,0.0
840,76.45788812637329,0.0,0.01119685173034668,0.0,10000.0,"(128,)",1000,0,"{'alpha': 10000.0, 'hidden_layer_sizes': (128,), 'max_iter': 1000, 'random_state': 0}",0.7583333333333333,0.7583333333333333,0.0,17,0.989375,0.989375,0.0
843,65.27827191352844,0.0,0.006532907485961914,0.0,10000.0,"(128,)",1000,3,"{'alpha': 10000.0, 'hidden_layer_sizes': (128,), 'max_iter': 1000, 'random_state': 3}",0.7583333333333333,0.7583333333333333,0.0,17,0.989375,0.989375,0.0
842,60.74352502822876,0.0,0.010447978973388672,0.0,10000.0,"(128,)",1000,2,"{'alpha': 10000.0, 'hidden_layer_sizes': (128,), 'max_iter': 1000, 'random_state': 2}",0.7583333333333333,0.7583333333333333,0.0,17,0.9902083333333334,0.9902083333333334,0.0
783,17.105504989624023,0.0,0.001954793930053711,0.0,10000.0,"(8,)",10000,3,"{'alpha': 10000.0, 'hidden_layer_sizes': (8,), 'max_iter': 10000, 'random_state': 3}",0.7566666666666668,0.7566666666666668,0.0,21,0.9875000000000002,0.9875000000000002,0.0
856,114.48731398582458,0.0,0.019658327102661133,0.0,10000.0,"(256,)",1000,0,"{'alpha': 10000.0, 'hidden_layer_sizes': (256,), 'max_iter': 1000, 'random_state': 0}",0.7566666666666667,0.7566666666666667,0.0,22,0.9900000000000001,0.9900000000000001,0.0
826,40.63063311576843,0.0,0.0045359134674072266,0.0,10000.0,"(64,)",1000,2,"{'alpha': 10000.0, 'hidden_layer_sizes': (64,), 'max_iter': 1000, 'random_state': 2}",0.7566666666666667,0.7566666666666667,0.0,22,0.9916666666666667,0.9916666666666667,0.0
815,30.07933282852173,0.0,0.0066220760345458984,0.0,10000.0,"(32,)",10000,3,"{'alpha': 10000.0, 'hidden_layer_sizes': (32,), 'max_iter': 10000, 'random_state': 3}",0.7566666666666667,0.7566666666666667,0.0,22,0.9891666666666666,0.9891666666666666,0.0
859,116.79375791549683,0.0,0.054099082946777344,0.0,10000.0,"(256,)",1000,3,"{'alpha': 10000.0, 'hidden_layer_sizes': (256,), 'max_iter': 1000, 'random_state': 3}",0.7566666666666667,0.7566666666666667,0.0,22,0.9895833333333334,0.9895833333333334,0.0
841,72.45421624183655,0.0,0.007542848587036133,0.0,10000.0,"(128,)",1000,1,"{'alpha': 10000.0, 'hidden_layer_sizes': (128,), 'max_iter': 1000, 'random_state': 1}",0.7566666666666667,0.7566666666666667,0.0,22,0.9912500000000001,0.9912500000000001,0.0
